source,name,formula,class,collapsed_spectra_count
OWN,Hematite,Fe2O3,Oxides / hydroxides,1
OWN,Hibbingite,Fe2O3H3Cl,Oxides / hydroxides,4
OWN,Phenoxy resin,CxOxHx,Other classes,1
OWN,PhenoxyResin,CxOxHx,Other classes,1
OWN,Spinel,MgAl2O4,Oxides / hydroxides,1
ROD,Abhurite,Cl16H14O20Sn21,Oxides / hydroxides,2
ROD,Actinolite,Al0.122Ca1.802Fe0.575H1.94K0.014Mg4.479Mn0.016Na0.124O24Si7.94Ti0.002,Silicates,8
ROD,Adamite,AsHO5Zn2,Oxides / hydroxides,2
ROD,Aegirine-augite,Ca0.774Fe0.11Mg0.901Na0.226O6Si2,Silicates,2
ROD,Afghanite,Al12Ca5.515Cl3K2.505Na7.5O60S3Si12,Silicates,2
ROD,Afwillite,Ca3H6O10Si2,Silicates,2
ROD,Akaganeite,Cl0.675Fe4O8,Oxides / hydroxides,1
ROD,Akatoreite,Al2H8Mn9O32Si8,Silicates,2
ROD,Alabandite,MnS,Sulfides,2
ROD,Alacranite,As8S9,Sulfides,2
ROD,Alamosite,O3PbSi,Silicates,2
ROD,Albite,Al1.02Ca0.02Na0.98O8Si2.98,Silicates,8
ROD,Albite,AlNaO8Si3,Silicates,1
ROD,Allactite,As2H8Mn7O16,Oxides / hydroxides,4
ROD,Alloriite,C0.31H18Al12Ca2.23Cl0.17K2.16Na11.61O61.79S2.7Si12,Silicates,2
ROD,Almandine,Al2Ca0.12Fe2.58Mg0.27O12Si3,Silicates,2
ROD,Almandine,Al2Fe3O12Si3,Silicates,12
ROD,AlPO4 moganite,AlO4P,Oxides / hydroxides,1
ROD,Alum-(K),AlH24K1.3O20S2,Oxides / hydroxides,3
ROD,Alum-(Na),AlH24NaO20S2,Oxides / hydroxides,2
ROD,aluminium(III) oxide,Al2O3,Oxides / hydroxides,1
ROD,aluminum carbide,C3Al4,Other classes,1
ROD,Alunite,Al3H6KO14S2,Oxides / hydroxides,5
ROD,Alunogen,Al2H34O29S3,Oxides / hydroxides,4
ROD,Amarantite,Fe4H28O32S4,Oxides / hydroxides,2
