"App","TopN","Hits","Total","Percent"
"Raman Match","Top1","18","48","37,5"
"Raman Match","Top3","28","48","58,3"
"Raman Match","Top6","31","48","64,6"
"Raman Match","Top10","31","48","64,6"
"RamanLab MultiWindow","Top1","25","48","52,1"
"RamanLab MultiWindow","Top3","29","48","60,4"
"RamanLab MultiWindow","Top6","30","48","62,5"
"RamanLab MultiWindow","Top10","32","48","66,7"
"RamanLab MineralVibration","Top1","29","48","60,4"
"RamanLab MineralVibration","Top3","30","48","62,5"
"RamanLab MineralVibration","Top6","31","48","64,6"
"RamanLab MineralVibration","Top10","31","48","64,6"
"RamanPhaseID","Top1","48","48","100"
"RamanPhaseID","Top3","48","48","100"
"RamanPhaseID","Top6","48","48","100"
"RamanPhaseID","Top10","48","48","100"
